iata,name,location,country
LSH,Lashio Airport,Lashio,Myanmar (Burma)
MFD,Mansfield Lahm Regional Airport,"Mansfield, Ohio",United States
MQF,Magnitogorsk Airport,"Magnitogorsk, Chelyabinsk",Russia
NDC,Nanded Airport,Nanded,India
OOK,Toksook Bay Airport,"Toksook Bay, Alaska",United States
PNX,North Texas Regional Airport,"Sherman / Denison, Texas",United States
REC,Guararapes International Airport,Recife,Brazil
SGE,Siegerland Airport,Burbach,Germany
SVW,Sparrevohn LRRS Airport,"Sparrevohn, Alaska",United States
TRE,Tiree Airport,"Tiree, Scotland",United Kingdom
VIS,Visalia Municipal Airport,"Visalia, California",United States
XMH,Manihi Airport,Manihi,French Polynesia
YME,Matane Airport,"Matane, Quebec",Canada
ZAO,Laberandie Airport,Cahors,France
ZYR,Brussels-South Railway Station,Brussels,Belgium
AAO,Anaco Airport,Anaco,Venezuela
ANB,Anniston Metropolitan Airport,"Anniston, Alabama",United States
BAG,Loakan Airport,Baguio City,Philippines
BKR,Bokoro Airport,Bokoro,Chad
BVY,Beverly Municipal Airport,"Beverly, Massachusetts",United States
CHO,Charlottesville-Albemarle Airport,"Charlottesville, Virginia",United States
CTO,Calverton Executive Airpark,"Calverton, New York",United States
DMN,Deming Municipal Airport,"Deming, New Mexico",United States
EMG,Empangeni Airport,Empangeni,South Africa
FNH,Fincha Airport,Fincha,Ethiopia
GME,Gomel Airport,Gomel,Belarus
HFN,Hornafjörður Airport,Höfn,Iceland
ICO,Sicogon Airport,"Carles, Iloilo",Philippines
JCA,Croisette Heliport,"Cannes, Côte d'Azur",France
KCZ,K?chi Ry?ma Airport,K?chi,Japan
KPH,Pauloff Harbor Seaplane Base,"Sanak Island, Alaska",United States
LDO,Ladouanie Airport,Ladouanie,Suriname
LSI,Sumburgh Airport,"Shetland, Scotland",United Kingdom
MFE,McAllen-Miller International Airport,"McAllen, Texas",United States
MQH,Minaçu Airport,"Minaçu, Goiás",Brazil
NDJ,N'Djamena International Airport,N'Djamena,Chad
OOL,Gold Coast Airport,"Coolangatta, Queensland",Australia
PNY,Pondicherry Airport,Puducherry,India
RED,Mifflin County Airport,"Reedsville, Pennsylvania",United States
SGF,Springfield - Branson NATIONAL Airport,"Springfield, Missouri",United States
SVX,Koltsovo International Airport,Yekaterinburg,Russia
TRF,"Sandefjord Airport, Torp",Sandefjord / Stokke,Norway
VIT,Vitoria Foronda International Airport,Vitoria-Gasteiz,Spain
XMI,Masasi Airport,Masasi,Tanzania
YMF,Montague Harbour Airport,"Montague Harbour, British Columbia",Canada
ZAR,Zaria Airport,Zaria,Nigeria
ZYZ,Berchem Railway Station,Antwerp,Belgium
AAP,Andrau Airpark,"Houston, Texas",United States
ANC,Ted Stevens Anchorage International Airport,"Anchorage, Alaska",United States
BAH,Bahrain International Airport,Al Muharraq,Bahrain
BKS,Padang Kemiling Airport (Fatmawati Soekarno Airport),Bengkulu,Indonesia
BVZ,Beverley Springs Airport,"Beverley Springs, Western Australia",Australia
CHP,Circle Hot Springs Airport,"Circle Hot Springs, Alaska",United States
CTP,Carutapera Airport,"Carutapera, Maranhão",Brazil
DMO,Sedalia Memorial Airport,"Sedalia, Missouri",United States
EMI,Emirau Airport,Emirau,Papua New Guinea
FNI,Garons Airport,Nîmes-Arles-Camargue,France
GMI,Gasmata Airport,Gasmata Island,Papua New Guinea
HFS,Hagfors Airport,Hagfors,Sweden
ICR,Nicaro Airport,Nicaro,Cuba
JCB,Joaçaba Airport,"Joaçaba, Santa Catarina",Brazil
KDA,Kolda North Airport,Kolda,Senegal
KPI,Kapit Airport,"Kapit, Sarawak",Malaysia
LDR,Lodar Airport,Lodar,Yemen
LSJ,Long Island Airport,Long Island,Papua New Guinea
MFF,Moanda Airport,Moanda,Gabon
MQL,Mildura Airport,"Mildura, Victoria",Australia
NDK,Namorik Airport,Namorik Atoll,Marshall Islands
OPF,Opa-locka Airport,"Miami, Florida",United States
PNZ,Senador Nilo Coelho Airport,"Petrolina, Pernambuco",Brazil
REG,Reggio Calabria Airport,Reggio Calabria,Italy
SGG,Sermiligaaq Heliport,Sermiligaaq,Greenland
SVZ,Juan Vicente Gómez International Airport,San Antonio del Táchira,Venezuela
TRG,Tauranga Airport,Tauranga,New Zealand
VIV,Vivigani Airfield,"Vivigani, Goodenough Island",Papua New Guinea
XML,Minlaton Airport,"Minlaton, South Australia",Australia
YMG,Manitouwadge Airport,"Manitouwadge, Ontario",Canada
ZAT,Zhaotong Airport,"Zhaotong, Yunnan",China
PMA,Pemba/Karume Airport,Pemba Island,Zanzibar
AAQ,Anapa Airport,Anapa,Russia
AND,Anderson Regional Airport,"Anderson, South Carolina",United States
BAI,Buenos Aires Airport,Buenos Aires,Costa Rica
BKT,Allen C. Perkinson Airport / Blackstone Army Airfield,"Blackstone, Virginia",United States
BWA,Bhairawa Airport,Bhairawa,Nepal
CHQ,Chania International Airport,Chania,Greece
CTQ,Do Palmar Airport,"Santa Vitória, Rio Grande do Sul",Brazil
DMR,Dhamar Airport,Dhamar,Yemen
EMK,Emmonak Airport,"Emmonak, Alaska",United States
FNJ,Pyongyang Sunan International Airport,Pyongyang,North Korea
GMM,Gamboma Airport,Gamboma,Republic of the Congo
HFT,Hammerfest Airport,"Hammerfest, Finnmark",Norway
ICT,Wichita Mid-Continent Airport,"Wichita, Kansas",United States
JCE,Oakland Convention Center Heliport,"Oakland, California",United States
KDB,Kambalda Airport,"Kambalda, Western Australia",Australia
KPL,Kapal Airport,Kapal,Papua New Guinea
LDU,Lahad Datu Airport,"Lahad Datu, Sabah",Malaysia
LSK,Lusk Municipal Airport,"Lusk, Wyoming",United States
MFG,Muzaffarabad Airport,Muzaffarabad,Pakistan
MQM,Mardin Airport,Mardin,Turkey
NDM,Mendi Airport,Mendi,Ethiopia
OPL,St.Landry Parish Airport (Ahart Field),"Opelousas, Louisiana",United States
POA,Salgado Filho International Airport,"Porto Alegre, Rio Grande DO Sul",Brazil
REK,Reykjavík Metropolitan Area,Reykjavík,Iceland
SGH,Springfield-Beckley Municipal Airport,"Springfield, Ohio",United States
SWA,Jieyang Chaoshan Airport,"Jieyang / Shantou / Chaozhou, Guangdong",China
TRH,Trona Airport,"Trona, California",United States
VIX,Eurico de Aguiar Salles Airport,"Vitória, Espírito Santo",Brazil
XMN,Xiamen Gaoqi International Airport,"Xiamen, Fujian",China
YMH,Mary's Harbour Airport,"Mary's Harbour, Labrador",Canada
ZAZ,Zaragoza Airport,Zaragoza,Spain
AAR,Aarhus Airport,Aarhus,Denmark
ANE,Angers - Avrillé Aerodrome (Angers-Marcé Airport),Angers,France
BAJ,Bali Airport,"Bali, West New Britain",Papua New Guinea
BKU,Betioky Airport,Betioky,Madagascar
BWB,Barrow Island Airport,"Barrow Island, Western Australia",Australia
CHR,"Châteauroux-Déols Marcel Dassault"" Airport",Châteauroux / Déols,France
CTR,Cattle Creek Airport,"Cattle Creek, Northern Territory",Australia
DMT,Diamantino Airport,"Diamantino, Mato Grosso",Brazil
EML,Emmen Air Base,"Emmen, Lucerne",Switzerland
FNL,Fort Collins-Loveland Municipal Airport,"Fort Collins/Loveland, Colorado",United States
GMN,Greymouth Airport,Greymouth,New Zealand
HGA,Egal International Airport,Hargeisa,Somalia
ICY,Icy Bay Airport,"Icy Bay, Alaska",United States
JCH,Qasigiannguit Heliport,Qasigiannguit,Greenland
KDC,Kandi Airport,Kandi,Benin
KPM,Kompiam Airport,Kompiam,Papua New Guinea
LDV,Landivisiau Airport,Landivisiau,France
LSL,Los Chiles Airport,Los Chiles,Costa Rica
MFH,Mesquite Airport,"Mesquite, Nevada",United States
MQN,"Mo i Rana Airport, Røssvoll",Mo i Rana,Norway
NDR,Arwi Airport,Nador,Morocco
OPO,Francisco Sá Carneiro Airport,Porto,Portugal
POB,Pope Air FORCE Base,"Fayetteville, North Carolina",United States
REL,Almirante Marco Andrés Zar Airport,"Trelew, Chubut",Argentina
SGK,Sangapi Airport,Sangapi,Papua New Guinea
SWD,Seward Airport,"Seward, Alaska",United States
TRI,Tri-Cities Regional Airport,"Blountville, Tennessee ",United States
VJB,Xai Xai Airport,Xai Xai,Mozambique
XMS,Macas Airport (Edmundo Carvajal Airport),Macas,Ecuador
YMI,Minaki Airport,"Minaki, Ontario",Canada
ZBE,Dolní Benesov Airport,Záb?eh,Czech Republic
AAS,Apalapsili Airport,Apalapsili,Indonesia
ANF,Cerro Moreno International Airport,Antofagasta,Chile
BAL,Batman Airport,Batman,Turkey
BKW,Raleigh County Memorial Airport,"Beckley, West Virginia",United States
BWC,Brawley Municipal Airport,"Brawley, California",United States
CHS,Charleston International Airport / Charleston AFB,"Charleston, South Carolina",United States
CTS,Chitose International Airport,"Sapporo, Hokkaido",Japan
DMU,Dimapur Airport,Dimapur,India
EMM,Kemmerer Municipal Airport,"Kemmerer, Wyoming",United States
FNR,Funter Bay Seaplane Base,"Funter Bay, Alaska",United States
GMP,Gimpo International Airport (Kimpo Airport),Seoul,South Korea
HGD,Hughenden Airport,"Hughenden, Queensland",Australia
IDA,Idaho Falls Regional Airport,"Idaho Falls, Idaho",United States
JCI,New Century AirCenter,"Olathe, Kansas",United States
KDD,Khuzdar Airport,Khuzdar,Pakistan
KPN,Kipnuk Airport,"Kipnuk, Alaska",United States
LDW,Lansdowne Airport,"Lansdowne, Western Australia",Australia
LSM,Long Semado Airport,"Long Semado, Sarawak",Malaysia
MFI,Marshfield Municipal Airport,"Marshfield, Wisconsin",United States
MQP,Kruger Mpumalanga International Airport,Nelspruit,South Africa
NDU,Rundu Airport,"Rundu, Okavango Region",Namibia
OPS,Aeroporto de Sinop Airport,"Sinop, Mato Grosso",Brazil
POC,Brackett Field,"La Verne, California",United States
REN,Orenburg Tsentralny Airport,Orenburg,Russia
SGL,Danilo Atienza (Sangley POINT ) Air Base,"Cavite City, Cavite",Philippines
SWF,Stewart International Airport,"Newburgh, New York",United States
TRK,Juwata Airport,"Tarakan, East Kalimantan",Indonesia
VJI,Virginia Highlands Airport,"Abingdon, Virginia",United States
XMU,Moulins - Montbeugny Airport,"Moulins, Allier",France
YMJ,CFB Moose Jaw,"Moose Jaw, Saskatchewan",Canada
ZBF,Bathurst Airport,"Bathurst, New Brunswick",Canada
AAT,Altay Airport,"Altay, Xinjiang",China
ANG,Angoulême - Brie - Champniers Airport,Angoulême,France
BAM,Battle Mountain Airport (Lander County Airport),"Battle Mountain, Nevada",United States
BKX,Brookings Regional Airport,"Brookings, South Dakota",United States
BWD,Brownwood Regional Airport,"Brownwood, Texas",United States
CHT,Chatham Islands / Tuuta Airport,"Waitangi, Chatham Islands",New Zealand
CTT,Le Castellet Airport,Le Castellet,France
DNA,Kadena Air Base,Okinawa Prefecture,Japan
EMN,Nema Airport,Nema,Mauritania
FNT,Bishop International Airport,"Flint, Michigan",United States
GMR,Totegegie Airport (Gambier Island Airport),"Mangareva, Gambier Islands",French Polynesia
HGH,Hangzhou Xiaoshan International Airport,Hangzhou,China
IDB,Idre Airport,Idre,Sweden
JCK,Julia Creek Airport,"Julia Creek, Queensland",Australia
KDE,Koroba Airport,Koroba,Papua New Guinea
KPO,Pohang Airport,Pohang,South Korea
LDX,St-Laurent du Maroni Airport,St-Laurent du Maroni,French Guiana
LSN,Los Banos Municipal Airport,"Los Banos, California",United States
MFJ,Moala Airport,"Moala, Moala Islands",Fiji
MQQ,Moundou Airport,Moundou,Chad
NDY,Sanday Airport,"Sanday, Scotland",United Kingdom
OQN,Brandywine Airport,"West Chester, Pennsylvania",United States
POD,Podor Airport,Podor,Senegal
REO,Rome State Airport,"Rome, Oregon",United States
SGN,Tan Son Nhat International Airport,Ho Chi Minh City,Vietnam
SWI,Swindon Airport,"Swindon, England",United Kingdom
TRL,Terrell Municipal Airport,"Terrell, Texas",United States
VKG,Rach Gia Airport,"Rach Gia, Kien Giang",Vietnam
XMY,Yam Island Airport,"Yam Island, Queensland",Australia
YML,Charlevoix Airport,"Charlevoix, Quebec",Canada
ZBK,Žabljak Airport,Žabljak,Montenegro
AAU,Asau Airport,Asau,Samoa
ANH,Anuha Island Resort Airport,Anuha Island Resort,Solomon Islands
BAN,Basongo Airport,Basongo,Democratic Republic of the Congo
BKY,Kavumu Airport,Bukavu,Democratic Republic of the Congo
BWE,Braunschweig-Wolfsburg Regional Airport,"Braunschweig, Lower Saxony",Germany
CHU,Chuathbaluk Airport,"Chuathbaluk, Alaska",United States
CTU,Chengdu Shuangliu International Airport,"Chengdu, Sichuan",China
DNB,Dunbar Airport,"Dunbar, Queensland",Australia
EMO,Emo Airport,Emo,Papua New Guinea
FOA,Foula Airport,"Foula, Scotland",United Kingdom
GMS,Guimarães Airport,"Guimarães, Maranhão",Brazil
HGL,Düne Airport (Helgoland Airport),"Düne, Helgoland, Schleswig-Holstein",Germany
IDF,Idiofa Airport,Idiofa,Democratic Republic of the Congo
JCM,Jacobina Airport,"Jacobina, Bahia",Brazil
KDF,Kouba Airport,Kouba,Algeria
KPP,Kalpowar Airport,"Kalpowar, Queensland",Australia
LDY,City of Derry Airport (Londonderry Eglinton Airport),"Derry, Northern Ireland",United Kingdom
LSO,Talmont Airport,Les Sables d'Olonne,France
MFM,Macau International Airport,Taipa,Macau
MQS,Mustique Airport,Mustique Island,Saint Vincent and the Grenadines
NDZ,Cuxhaven Airport,"Nordholz - Spieka, Lower Saxony",Germany
ORA,Orán Airport,"Orán, Salta Province",Argentina
POE,Polk Army Airfield,"Fort Polk, Louisiana",United States
REP,Angkor International Airport,Siem Reap,Cambodia
SGR,Sugar Land Regional Airport,"Sugar Land, Texas",United States
SWN,Sahiwal Airport,Sahiwal,Pakistan
TRM,Jacqueline Cochran Regional Airport,"Palm Springs, California",United States
VKO,Vnukovo International Airport,Moscow,Russia
XNA,Northwest Arkansas Regional Airport,"Fayetteville/Springdale, Arkansas",United States
YMM,Fort McMurray Airport,"Fort McMurray, Alberta",Canada
ZBM,Bromont (Roland Désourdy) Airport,"Bromont, Quebec",Canada
AAV,Allah Valley Airport,"Surallah, South Cotabato",Philippines
ANI,Aniak Airport,"Aniak, Alaska",United States
BAO,Udon Air Base,Ban Mak Khaen,Thailand
BKZ,Bukoba Airport,Bukoba,Tanzania
BWF,Barrow/Walney Island Airfield,"Barrow-in-Furness, Cumbria, England",United Kingdom
CHV,Chaves Airport,Chaves,Portugal
CTW,Cottonwood Airport,"Cottonwood, Arizona",United States
DNC,Danane Airport,Danane,Côte d'Ivoire (Ivory Coast)
EMP,Emporia Municipal Airport,"Emporia, Kansas",United States
FOB,Fort Bragg Airport,"Fort Bragg, California",United States
GMT,Granite Mountain Air Station,"Granite Mountain, Alaska",United States
HGN,Mae Hong Son Airport,Mae Hong Son,Thailand
IDG,Ida Grove Municipal Airport,"Ida Grove, Iowa",United States
JCO,Comino Heliport,Comino,Malta
KDG,Kardjali Airport,Kardjali,Bulgaria
KPR,Port Williams Seaplane Base,"Port Williams, Kodiak Island Borough, Alaska",United States
LDZ,Londolozi Airport,Londolozi,South Africa
LSP,Josefa Camejo International Airport,Las Piedras,Venezuela
MFN,Milford Sound Airport,Milford Sound,New Zealand
MQT,Sawyer International Airport,"Marquette, Michigan",United States
NEC,Necochea Airport,"Necochea, Buenos Aires",Argentina
ORB,Örebro Airport,Örebro,Sweden
POF,Poplar Bluff Municipal Airport,"Poplar Bluff, Missouri",United States
RER,Retalhuleu Airport,Retalhuleu,Guatemala
SGT,Stuttgart Municipal Airport,"Stuttgart, Arkansas",United States
SWO,Stillwater Regional Airport,"Stillwater, Oklahoma",United States
TRN,Turin International Airport,Turin,Italy
VKS,Vicksburg Municipal Airport,"Vicksburg, Mississippi",United States
XNN,Xining Caojiabu Airport,"Xining, Qinghai",China
YMN,Makkovik Airport,"Makkovik, Newfoundland and Labrador",Canada
ZBO,Bowen Airport,"Bowen, Queensland",Australia
AAW,Abbottabad Airport,Abbottabad,Pakistan
ANJ,Zanaga Airport,Zanaga,Republic of the Congo
BAP,Baibara Airport,Baibara,Papua New Guinea
BLA,Generál José Antonio Anzoátegui International Airport,"Barcelona, Anzoátegui",Venezuela
BWG,Bowling Green-Warren County Regional Airport,"Bowling Green, Kentucky",United States
CHX,Captain Manuel Niño International Airport,"Changuinola, Bocas del Toro",Panama
CTX,Cortland County Airport,"Cortland, New York",United States
DND,Dundee Airport,"Dundee, Scotland",United Kingdom
EMS,Embessa Airport,Embessa,Papua New Guinea
FOC,Fuzhou Changle International Airport,"Fuzhou, Fujian",China
GMU,Greenville Downtown Airport,"Greenville, South Carolina",United States
HGO,Korhogo Airport,Korhogo,Côte d'Ivoire
IDI,Indiana County Airport (Jimmy Stewart Field),"Indiana, Pennsylvania",United States
JCR,Jacareacanga Airport,"Jacareacanga, Pará",Brazil
KDH,Kandahar International Airport,Kandahar,Afghanistan
KPS,Kempsey Airport,"Kempsey, New South Wales",Australia
LEA,Learmonth Airport (RAAF Learmonth),"Exmouth, Western Australia",Australia
LSQ,Maria Dolores Airport,"Los Ángeles, Biobío",Chile
MFO,Manguna Airport,Manguna,Papua New Guinea
MQU,Mariquita Airport,"Mariquita, Tolima Department",Colombia
NEF,Neftekamsk Airport,"Neftekamsk, Bashkortostan",Russia
ORC,Orange City Municipal Airport,"Orange City, Iowa",United States
POG,PORT Gentil Airport,PORT Gentil,Gabon
RES,Resistencia International Airport,"Resistencia, Chaco",Argentina
SGU,St.George Municipal Airport,"St.George, Utah",United States
SWS,Swansea Airport,"Swansea, Wales",United Kingdom
TRR,China Bay Airport,Trincomalee,Sri Lanka
VKT,Vorkuta Airport,Vorkuta,Russia
XNT,Xingtai Airport,"Xingtai, Hebei",China
YMO,Moosonee Airport,"Moosonee, Ontario",Canada
ZBR,Konarak Airport,Chabahar,Iran
AAX,Araxá Airport,"Araxá, Minas Gerais",Brazil
ANK,Etimesgut Airport,Ankara,Turkey
BAQ,Ernesto Cortissoz International Airport,Barranquilla,Colombia
BLB,Howard Airport,Balboa,Panamá
BWH,RMAF Butterworth,"Butterworth, Penang",Malaysia
CHY,Choiseul Bay Airport,"Choiseul Bay, Taro Island",Solomon Islands
CTY,Cross City Airport,"Cross City, Florida",United States
DNF,Martubah Airport,Derna,Libya
EMT,El Monte Airport,"El Monte, California",United States
FOD,Fort Dodge Regional Airport,"Fort Dodge, Iowa",United States
GMV,Monument Valley Airport,"Monument Valley, Utah",United States
HGR,Hagerstown Regional Airport (Richard A. Henson Field),"Hagerstown, Maryland",United States
IDK,Indulkana Airport,"Indulkana, South Australia",Australia
JCT,Kimble County Airport,"Junction, Texas",United States
KDI,Wolter Monginsidi Airport,Kendari,Indonesia
KPT,Jackpot Airport (Hayden Field),"Jackpot, Nevada",United States
LEB,Lebanon Municipal Airport,"Lebanon, New Hampshire",United States
LSR,Lost River 1 Airport (closed 2009),"Lost River, Alaska",United States
MFQ,Maradi Airport,Maradi,Niger
MQW,Telfair-Wheeler Airport,"McRae, Georgia",United States
NEG,Negril Aerodrome,Negril,Jamaica
ORD,O'Hare International Airport (formerly Orchard Depot Field),"Chicago, Illinois",United States
POH,Pocahontas Municipal Airport,"Pocahontas, Iowa",United States
RET,Røst Airport,"Røst, Nordland",Norway
SGY,Skagway Airport,"Skagway, Alaska",United States
SWT,Strezhevoy Airport,"Strezhevoy, Tomsk Oblast",Russia
TRS,Friuli Venezia Giulia Airport,Trieste,Italy
VLA,Vandalia Municipal Airport,"Vandalia, Illinois",United States
XNU,Nouna Airport,Nouna,Burkina Faso
YMP,Port McNeill Airport,"Port McNeill, British Columbia",Canada
ZBY,Sayaboury Airport,Sayaboury,Laos
AAY,Al Ghaydah Airport,Al Ghaydah,Yemen
ANL,Andulo Airport,Andulo,Angola
BAR,Baker Army Airfield (abandoned),Baker Island,United States Minor Outlying Islands
BLC,Bali Airport,Bali,Cameroon
BWI,Baltimore/Washington International Thurgood Marshall Airport,"between Baltimore, Maryland and Washington, D.C.",United States
CHZ,Chiloquin State Airport,"Chiloquin, Oregon",United States
CTZ,Sampson County Airport,"Clinton, North Carolina",United States
DNH,Dunhuang Airport,"Dunhuang, Gansu",China
EMX,El Maitén Airport,"El Maitén, Neuquén",Argentina
FOE,Forbes Field,"Topeka, Kansas",United States
GMZ,La Gomera Airport,"Alajeró / San Sebastián, Canary Islands",Spain
HGS,Hastings Airport,Freetown,Sierra Leone
IDN,Indagen Airport,Indagen,Papua New Guinea
JCU,Ceuta Heliport,Ceuta,Spain
KDJ,Ville Airport (Ndjolé Airport),Ndjolé,Gabon
KPV,Perryville Airport,"Perryville, Alaska",United States
LEC,Chapada Diamantina Airport,"Lençõis, Bahia",Brazil
